Date;Description;Category;Amount (EUR);Payment Method;Location;Notes
2025-03-01;Morning cappuccino;Food & Drink;2.50;Cash;Naples;Great start to the day
2025-03-02;Train ticket NAP-ROM;Transportation;45.90;Credit Card;Naples;High speed train
2025-03-02;Lunch at Trattoria;Food & Drink;28.00;Credit Card;Rome;Carbonara was amazing
2025-03-03;Hotel Artemide;Accommodation;180.00;Credit Card;Rome;Near Termini station
2025-03-03;Colosseum tour;Entertainment;16.00;Cash;Rome;Skip the line ticket
2025-03-04;Breakfast;Food & Drink;8.50;Cash;Rome;Hotel restaurant
2025-03-04;Taxi to airport;Transportation;35.00;Cash;Rome;FCO Airport
2025-03-04;Flight FCO-NAP;Transportation;89.00;Credit Card;Rome;Return flight
2025-03-05;Grocery shopping;Food & Drink;67.30;Debit Card;Naples;Weekly groceries
2025-03-06;Pharmacy;Health;15.80;Cash;Naples;Vitamins and supplements
2025-03-07;Book purchase;Shopping;24.99;Credit Card;Online;Travel photography guide
2025-03-08;Metro day pass;Transportation;4.50;Cash;Naples;Unlimited rides
2025-03-08;Museum entrance;Entertainment;12.00;Credit Card;Naples;Archaeological museum
2025-03-09;Dinner with friends;Food & Drink;85.00;Credit Card;Naples;Split the bill later
2025-03-10;Ubor ride;Transportation;18.50;Credit Card;Naples;To city center
2025-03-11;Morning coffee;Food & Drink;2.80;Cash;Naples;Usual spot
2025-03-12;Lunch overlooking bay;Food & Drink;95.00;Credit Card;Sorrento;Incredible views
2025-03-12;Local ceramics;Shopping;45.00;Cash;Sorrento;Handmade souvenir
2025-03-13;Hotel Marina Riviera;Accommodation;220.00;Credit Card;Sorrento;Sea view room
2025-03-13;Limoncello tasting;Food & Drink;15.00;Cash;Sorrento;Local specialty
2025-03-14;Boat trip;Entertainment;75.00;Credit Card;Sorrento;Coastal tour
2025-03-14;Seafood dinner;Food & Drink;120.00;Credit Card;Sorrento;Fresh catch of the day
2025-03-15;Morning pastry;Food & Drink;3.20;Cash;Sorrento;Local bakery
2025-03-15;Bus to airport;Transportation;12.00;Cash;Sorrento;Circumvesuviana line
2025-03-15;Airport parking;Transportation;25.00;Credit Card;Naples;3-day parking
2025-03-16;Gas station;Transportation;52.40;Credit Card;Highway;Full tank
2025-03-17;Lunch break;Food & Drink;11.50;Cash;Office area;Quick sandwich
2025-03-18;Online subscription;Digital Services;9.99;Credit Card;Online;Photo editing software
2025-03-19;Gym membership;Health;45.00;Debit Card;Naples;Monthly fee
2025-03-20;Pizza night;Food & Drink;23.00;Cash;Naples;Margherita perfection
